system,accuracy,macro_f1,hallucinated_f1,not_hallucinated_f1,hard_accuracy,hard_macro_f1,hard_hallucinated_f1
Binary TF-IDF,0.17,0.16966786714685872,0.1530612244897959,0.18627450980392157,,,
Retrieval score,0.41245972073039744,0.33704737914380367,0.5606425702811244,0.11345218800648298,,,
Heuristic RAG+NLI,0.4434651762682717,0.4175647910513709,0.5403870051482336,0.2947425769545083,0.45435016111707843,0.42480540961276514,0.5551663747810858
Supervised RAG verifier,0.5472481827622014,0.5287084347302916,0.4352331606217617,0.6221837088388215,0.552,0.5353434033514279,0.44736842105263164
Supervised RAG verifier tuned,0.38006230529595014,0.2905880393136765,0.542528735632184,0.03864734299516909,0.4053333333333333,0.3121869371036593,0.5653021442495126
Transformer NLI 500-sample,0.426,0.417894766731976,0.4865831842576029,0.3492063492063492,0.43859649122807015,0.4323062558356676,0.49206349206349204
