fold,model,accuracy,precision,recall,f1_score,roc_auc,overrides
1,simple_ann,0.9479873360470376,0.9521880064829822,0.9545085296506904,0.9533468559837728,0.9902161839553042,
1,deep_ann,0.9674355495251018,0.9610182975338106,0.9813160032493907,0.9710610932475885,0.9951109932193836,
1,dropout_style_ann,0.9592944369063772,0.95603517186251,0.9715678310316815,0.9637389202256245,0.9931165967605564,
1,ensemble_softvote,0.9687924016282226,0.9611111111111111,0.983753046303818,0.972300281011642,0.994334289361561,
1,hybrid_override_t0.8,0.9656264133876075,0.9522317932654659,0.9878147847278635,0.9696969696969697,0.9951109932193836,20.0
2,simple_ann,0.9601990049751243,0.9727047146401985,0.9553208773354996,0.9639344262295082,0.9938012898091813,
2,deep_ann,0.9656264133876075,0.979253112033195,0.958570268074736,0.9688013136288998,0.9950944146952039,
2,dropout_style_ann,0.9692446856625961,0.9670682730923694,0.9780666125101544,0.9725363489499192,0.9958412772095029,
2,ensemble_softvote,0.968340117593849,0.9746524938675388,0.9683184402924452,0.9714751426242869,0.9959498665428802,
2,hybrid_override_t0.8,0.9687924016282226,0.9685483870967742,0.9756295694557271,0.972076082557669,0.9950944146952039,35.0
3,simple_ann,0.9543193125282677,0.9563812600969306,0.9618196588139724,0.9590927501012555,0.9934804953663025,
3,deep_ann,0.9665309814563546,0.9537254901960784,0.9878147847278635,0.9704708699122107,0.9955859679371343,
3,dropout_style_ann,0.9692446856625961,0.9618745035742653,0.983753046303818,0.9726907630522088,0.9957840813010826,
3,ensemble_softvote,0.968340117593849,0.9603489294210944,0.983753046303818,0.9719101123595507,0.9957840813010825,
3,hybrid_override_t0.8,0.9574853007688828,0.9356321839080459,0.991876523151909,0.9629337539432176,0.9955859679371343,30.0
4,simple_ann,0.9633649932157394,0.9637389202256245,0.9707792207792207,0.9672462596037201,0.9947522153535944,
4,deep_ann,0.9601990049751243,0.966557911908646,0.9618506493506493,0.9641985353946297,0.9949437373147793,
4,dropout_style_ann,0.9606512890094979,0.9688779688779688,0.9602272727272727,0.9645332246229107,0.9943351783558627,
4,ensemble_softvote,0.9620081411126187,0.9674267100977199,0.9642857142857143,0.9658536585365853,0.9954834810235729,
4,hybrid_override_t0.8,0.9606512890094979,0.9525691699604744,0.9780844155844156,0.9651581898277934,0.9949437373147793,39.0
5,simple_ann,0.9647218453188603,0.958664546899841,0.9788961038961039,0.9686746987951806,0.9938841482827692,
5,deep_ann,0.966078697421981,0.9537254901960784,0.987012987012987,0.9700837654567213,0.9950075779685075,
5,dropout_style_ann,0.9665309814563546,0.9609872611464968,0.9797077922077922,0.9702572347266881,0.995026647254686,
5,ensemble_softvote,0.9669832654907282,0.960285941223193,0.9813311688311688,0.9706945002007226,0.9953019082551768,
5,hybrid_override_t0.8,0.9565807327001357,0.9362519201228878,0.989448051948052,0.9621152328334649,0.9950075779685075,27.0
