Model,Accuracy (mean±std),Precision (mean±std),Recall (mean±std),F1 (mean±std),ROC-AUC (mean±std)
ensemble_softvote,0.9669 ± 0.0028,0.9648 ± 0.0063,0.9763 ± 0.0093,0.9704 ± 0.0026,0.9954 ± 0.0006
deep_ann,0.9652 ± 0.0029,0.9629 ± 0.0106,0.9753 ± 0.0141,0.9689 ± 0.0028,0.9951 ± 0.0003
dropout_style_ann,0.9650 ± 0.0047,0.9630 ± 0.0051,0.9747 ± 0.0092,0.9688 ± 0.0043,0.9948 ± 0.0011
hybrid_override_t0.8,0.9618 ± 0.0053,0.9490 ± 0.0137,0.9846 ± 0.0072,0.9664 ± 0.0043,0.9951 ± 0.0003
simple_ann,0.9581 ± 0.0069,0.9607 ± 0.0079,0.9643 ± 0.0105,0.9625 ± 0.0063,0.9932 ± 0.0017
