conf_upper,min_rules,min_score,overrides,accuracy,precision,recall,f1_score,roc_auc
0.55,1,2.4,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.55,2,2.4,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.55,3,0.8,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.55,3,1.2,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.55,3,1.6,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.55,3,2.0,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.55,3,2.4,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.6,1,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.6,2,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.6,3,0.8,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.6,3,1.2,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.6,3,1.6,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.6,3,2.0,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.6,3,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.65,1,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.65,2,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.65,3,0.8,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.65,3,1.2,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.65,3,1.6,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.65,3,2.0,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.65,3,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.7,1,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.7,2,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.7,3,0.8,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.7,3,1.2,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.7,3,1.6,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.7,3,2.0,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.7,3,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.75,1,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.75,2,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
