comparison,metric,best_model_f1_mean,other_model_f1_mean,mean_fold_diff_best_minus_other,std_fold_diff,effect_size_dz,p_value_exact_sign_flip,p_value_t_approx,n_folds,p_value_exact_sign_flip_holm
ensemble_softvote vs deep_ann,f1_score,0.9704467389465576,0.96892311552801,0.0015236234185475484,0.0007519399191778812,2.0262568586774488,0.0625,5.874737545763509e-06,5,0.25
ensemble_softvote vs hybrid_override_t0.8,f1_score,0.9704467389465576,0.9663960457718228,0.00405069317473461,0.004465431063394292,0.9071225414138564,0.125,0.042520697871832214,5,0.375
ensemble_softvote vs simple_ann,f1_score,0.9704467389465576,0.9624589981426874,0.007987740803870037,0.008175854985793162,0.9769914972501342,0.125,0.0289167641964454,5,0.375
ensemble_softvote vs dropout_style_ann,f1_score,0.9704467389465576,0.9687512983154702,0.0016954406310872416,0.003955838249515749,0.42859200102400236,0.5625,0.33788083017751624,5,0.5625
