threshold,overrides,accuracy,precision,recall,f1_score,roc_auc
0.5,0,0.9733152419719584,0.9621451104100947,0.9910641754670999,0.9763905562224889,0.9960393905734511
0.55,6,0.9715061058344641,0.9583987441130298,0.991876523151909,0.9748502994011976,0.9960393905734511
0.6,12,0.9687924016282226,0.95390625,0.991876523151909,0.9725209080047789,0.9960393905734511
0.65,15,0.9674355495251018,0.9516757599376462,0.991876523151909,0.9713603818615751,0.9960393905734511
0.7,21,0.9665309814563546,0.9487975174553918,0.9935012185215272,0.9706349206349205,0.9960393905734511
0.75,30,0.9642695612844867,0.9437596302003082,0.9951259138911455,0.9687623566627125,0.9960393905734511
0.8,38,0.9615558570782451,0.9387442572741195,0.9959382615759546,0.966495861253449,0.9960393905734511
0.85,42,0.9597467209407508,0.9358778625954198,0.9959382615759546,0.964974419519874,0.9960393905734511
0.9,52,0.9552238805970149,0.9287878787878788,0.9959382615759546,0.9611916895335163,0.9960393905734511
0.95,83,0.942107643600181,0.9082161361954109,0.9967506092607636,0.9504260263361736,0.9960393905734511
