model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
ensemble_softvote,0.9668928086838534,0.002813628406150323,0.9647650371441314,0.006280162946021703,0.9762882832033929,0.009279764657503074,0.9704467389465575,0.0026359280789124704,0.9953707252968547,0.000632043680488183
deep_ann,0.9651741293532339,0.0028604953959008683,0.9628560603735616,0.010638127228318353,0.9753129384831253,0.014060354928010424,0.9689231155280099,0.0027681263410293455,0.9951485382270017,0.0002537207834017207
dropout_style_ann,0.9649932157394844,0.0047392806503590386,0.9629686357107221,0.005121599759176171,0.9746645109561438,0.009187406186795847,0.9687512983154702,0.004330990504013187,0.994820756176338,0.0011348782693943549
hybrid_override_t0.8,0.9618272274988693,0.005260901320161105,0.9490466908707296,0.013661296126624275,0.9845706689735934,0.0072405697392964674,0.9663960457718229,0.004330243298764611,0.9951485382270017,0.0002537207834017207
simple_ann,0.9581184984170058,0.006937807108546466,0.9607354896691154,0.00788337696444709,0.9642648780950974,0.010460282153644128,0.9624589981426874,0.006286741117975767,0.9932268665534302,0.0017476561154879766
